"","Squad","Player","Age","Gls","Ast","PK","CrdY","CrdR","xG_Expected","xA_Expected","single_pos","Min_percent_Playing_Time","Subs_Subs","unSub_Subs","Plus_Minus_Team_Success","On_minus_Off_Team_Success_xG","Sh_Standard","SoT_percent_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","PrgDist_Total","KP","PPA","CrsPA","Prog","Tkl_Tackles","Tkl_percent_Vs_Dribbles","Press_Pressures","_percent_Pressures","Blocks_Blocks","Int","Clr","Err","GA","SoTA","Save_percent","CS","player_height_mtrs","player_market_value_euro","forward","defender","midfield","keeper"
"268","Udinese","Walace","26",1,0,0,6,1,1.4,2.1,"MF",86.8,3,0,1,-0.07,47,23.4,0.03,1649,82.6,7164,26,17,2,127,92,39.3,588,35.9,48,86,39,1,0,0,0,0,"1.88",5e+06,0,0,1,0
"269","Udinese","Nahuel Molina","23",7,2,0,7,1,4.1,3.7,"DF",77.1,4,0,4,0.11,45,35.6,0.09,1236,71,6560,38,48,20,108,45,40,404,23,48,35,37,1,0,0,0,0,"1.75",2e+07,0,1,0,0
"270","Udinese","Gerard Deulofeu","27",13,5,1,9,0,8.5,7,"FW",76.5,3,0,-3,-0.85,76,43.4,0.1,1106,69.8,5007,79,80,8,134,16,12.5,491,30.8,24,27,4,0,0,0,0,0,"1.77",1.5e+07,1,0,0,0
"271","Udinese","Jean-Victor Makengo","23",1,3,0,7,1,2.3,2,"MF",68.7,7,2,4,0.16,32,31.3,0.07,852,83.2,2717,26,15,3,59,30,39.5,310,38.1,40,32,14,1,0,0,0,0,"1.77",7500000,0,0,1,0
"272","Udinese","Beto","23",11,0,0,1,0,10.6,1.5,"FW",63.5,4,0,-3,-0.2,64,40.6,0.17,375,71.2,645,17,7,1,22,16,33.3,369,26.3,25,9,23,0,0,0,0,0,"1.94",1e+07,1,0,0,0
"273","Udinese","Bram Nuytinck","31",1,0,0,2,0,1.2,0.2,"DF",59.4,4,6,1,-0.19,10,30,0.12,927,85,5268,2,2,1,27,39,39.4,237,32.1,59,33,106,0,0,0,0,0,"1.9",3500000,0,1,0,0
"274","Udinese","Roberto Pereyra","30",3,5,1,10,1,4.5,3.2,"MF",52.5,2,1,4,0.21,28,25,0.11,840,85.6,3123,27,29,2,79,14,25,306,22.2,29,20,7,0,0,0,0,0,"1.82",6500000,0,0,1,0
"275","Udinese","Tolgay Arslan","30",1,0,0,9,0,1.2,1.7,"MF",48.5,8,6,6,-0.08,23,39.1,0.05,681,80.3,2507,17,8,1,57,32,26.1,330,26.7,27,32,23,0,0,0,0,0,"1.8",2300000,0,0,1,0
"276","Udinese","Nehuén Pérez","21",0,1,0,6,0,1.2,0.5,"DF",49.5,1,12,-1,-0.33,10,10,0.12,770,78.1,4704,6,3,0,32,53,60.6,274,33.2,38,29,51,0,0,0,0,0,"1.84",6e+06,0,1,0,0
"277","Udinese","Pablo Marí","27",2,0,0,2,1,0.6,0.8,"DF",39.2,0,2,3,0.12,10,50,0.06,603,71.1,3739,3,0,0,20,18,53.8,139,35.3,30,37,89,0,0,0,0,0,"1.93",5e+06,0,1,0,0
"278","Udinese","Ignacio Pussetto","25",4,4,1,4,0,4.9,2.6,"FW",35.2,17,7,-8,0,31,38.7,0.13,294,69.7,867,14,6,3,23,20,16.7,246,27.6,26,7,10,0,0,0,0,0,"1.8",3e+06,1,0,0,0
"279","Udinese","Isaac Success","25",2,6,0,1,1,2.5,3,"FW",26.6,11,2,0,0.01,25,52,0.1,286,63.3,785,17,6,1,19,3,0,106,28.3,7,1,4,0,0,0,0,0,"1.82",3e+06,1,0,0,0
"280","Udinese","Jens Stryger Larsen","30",0,1,0,0,0,0.7,0.9,"DF",20,3,0,-5,-0.6,9,44.4,0.08,291,75.3,1479,11,5,2,11,5,28.6,62,22.6,8,8,10,0,0,0,0,0,"1.8",2e+06,0,1,0,0
"281","Udinese","Brandon Soppy","19",0,0,0,4,0,0.4,0.2,"DF",22.7,21,8,1,-0.33,6,33.3,0.07,233,71.2,966,5,7,1,18,24,60.9,169,28.4,15,11,5,1,0,0,0,0,"1.81",5e+06,0,1,0,0
"282","Udinese","Marvin Zeegelaar","30",0,0,0,2,0,0.2,0,"DF",18.8,8,22,-6,0.2,3,0,0.06,303,77.9,1865,2,1,0,18,22,50,103,36.9,14,21,18,0,0,0,0,0,"1.86",8e+05,0,1,0,0
"283","Udinese","Mato Jajalo","33",0,1,0,2,0,0.5,0.7,"MF",18.4,16,15,3,0.74,5,0,0.09,324,78.7,1189,8,9,0,28,19,33.3,124,33.1,13,12,8,0,0,0,0,0,"1.82",4e+05,0,0,1,0
"284","Udinese","Daniele Padelli","35",0,0,0,0,0,0,0,"GK",7.9,0,34,-2,-0.99,0,0,0,111,72.1,1112,0,0,0,0,0,0,0,0,0,0,0,1,8,23,65.2,1,"1.91",4e+05,0,0,0,1
"285","Udinese","Sebastien De Maio","34",0,0,0,0,0,0,0.3,"DF",5.3,0,17,-6,-1.53,0,0,0,75,70.7,529,1,0,0,2,6,11.1,34,35.3,6,5,6,0,0,0,0,0,"1.9",350000,0,1,0,0
"286","Udinese","Lazar Samardzic","19",2,2,0,0,0,1.1,1.8,"MF",14.3,21,15,5,0.36,17,35.3,0.06,267,78.7,1265,19,6,0,23,18,40,170,35.9,7,4,2,0,0,0,0,0,"1.84",3500000,0,0,1,0
"287","Udinese","Ilija Nestorovski","31",1,0,0,1,0,0.7,0.8,"FW",5.5,6,21,8,1.01,5,20,0.14,66,68.2,268,3,2,1,6,2,33.3,29,24.1,5,0,2,0,0,0,0,0,"1.82",7e+05,1,0,0,0
"288","Udinese","Fernando Forestieri","31",2,1,0,1,0,1,0.1,"FW",1.7,4,12,4,2.65,3,66.7,0.32,23,69.6,84,1,1,0,4,1,50,7,42.9,0,1,1,0,0,0,0,0,"1.72",875000,1,0,0,0
"289","Udinese","Simone Pafundi","15",0,0,0,0,0,0.1,0.1,"FW",0.7,1,1,0,-1.68,1,100,0.08,12,83.3,42,1,0,0,1,0,0,4,25,0,0,0,0,0,0,0,0,"0",0,1,0,0,0
"290","Udinese","Stefano Okaka","31",0,1,0,1,0,0,0,"FW",0.6,2,0,2,4.87,1,0,0.02,5,100,22,0,0,0,1,1,0,5,40,1,0,1,1,0,0,0,0,"1.86",2900000,1,0,0,0
"291","Udinese","Riccardo Pinzi","17",0,0,0,0,0,0,0,"MF",0,1,3,0,-3.83,0,0,0,2,50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"0",1e+05,0,0,1,0
"292","Bologna","Aaron Hickey","19",5,1,0,7,0,1.1,1.4,"DF",82.5,2,0,-8,-0.03,21,61.9,0.05,1305,81.8,5361,18,22,9,51,45,59.3,401,27.4,66,39,46,0,0,0,0,0,"1.85",1.8e+07,0,1,0,0
"293","Bologna","Gary Medel","33",0,1,0,10,1,0.3,0,"DF",82.5,1,1,-11,-0.05,2,0,0.14,1649,89.6,11302,1,4,1,59,34,40,286,35,50,62,128,0,0,0,0,0,"1.71",1e+06,0,1,0,0
"294","Bologna","Roberto Soriano","30",0,4,0,6,2,1.9,4.2,"MF",76.7,3,0,-4,0.68,25,32,0.07,1258,82,5354,45,43,11,129,63,38.5,543,30.9,41,33,35,0,0,0,0,0,"1.82",5e+06,0,0,1,0
"295","Bologna","Mattias Svanberg","22",3,3,0,7,0,2,3.4,"MF",75,5,1,-17,-0.62,39,33.3,0.05,1063,74,4215,35,28,7,84,45,25.5,466,26.4,52,32,28,2,0,0,0,0,"1.85",1.5e+07,0,0,1,0
"296","Bologna","Arthur Theate","21",2,1,0,6,0,1.5,0.3,"DF",70.9,3,3,-7,-0.36,21,28.6,0.07,1477,83.8,8688,6,8,2,87,41,45.9,327,30.9,45,71,68,0,0,0,0,0,"1.86",1.5e+07,0,1,0,0
"297","Bologna","Lorenzo De Silvestri","33",3,2,0,7,0,2,2.1,"DF",67.1,4,1,-14,-0.06,16,37.5,0.12,1346,74.2,8530,21,25,13,100,29,32.4,253,28.9,52,30,54,2,0,0,0,0,"1.86",1500000,0,1,0,0
"298","Bologna","Adama Soumaoro","29",0,0,0,6,2,0.9,0.1,"DF",66.3,2,5,1,0.34,7,14.3,0.12,1055,89.9,5743,1,3,1,56,17,42.9,165,37,35,44,90,0,0,0,0,0,"1.86",4e+06,0,1,0,0
"299","Bologna","Musa Barrow","22",6,6,0,0,0,5.4,4.4,"FW",62.4,9,1,-8,0.14,72,38.9,0.08,939,76,3087,44,44,12,68,16,36.4,322,20.8,22,15,6,0,0,0,0,0,"1.84",1.8e+07,1,0,0,0
"300","Bologna","Nicolás Domínguez","23",0,3,0,8,0,1.6,2.2,"MF",58.9,5,1,0,0.5,22,18.2,0.07,1196,82.1,4944,27,30,3,100,78,42.9,571,29.4,45,45,31,1,0,0,0,0,"1.79",1.3e+07,0,0,1,0
"301","Bologna","Riccardo Orsolini","24",6,3,2,2,0,6.2,1.9,"FW",52.2,8,8,-3,-0.19,53,28.3,0.09,746,66.5,2904,23,22,13,64,23,38.7,255,26.3,17,8,11,0,0,0,0,0,"1.83",1e+07,1,0,0,0
"302","Bologna","Jerdy Schouten","24",1,1,0,4,1,0.2,0.6,"MF",40.7,1,1,-5,-0.1,6,16.7,0.03,801,84.3,3729,13,13,0,73,31,30,251,37.1,32,41,30,0,0,0,0,0,"1.85",9e+06,0,0,1,0
"303","Bologna","Kevin Bonifazi","25",0,0,0,4,1,0.7,0.8,"DF",35.4,8,8,-2,0.03,9,0,0.08,673,82.6,4193,4,3,1,47,25,57.9,142,38.7,24,23,54,0,0,0,0,0,"1.87",3800000,0,1,0,0
"304","Bologna","Mitchell Dijks","28",0,2,0,2,0,0.6,0.4,"DF",20.3,9,14,-3,0.13,5,0,0.12,346,76.6,2096,6,4,4,21,22,57.9,148,21.6,12,9,7,1,0,0,0,0,"1.94",2e+06,0,1,0,0
"305","Bologna","Luis Binks","19",0,0,0,3,0,0,0,"DF",18.9,8,22,-6,0.04,2,0,0.02,324,83.6,2078,1,0,0,15,10,83.3,65,32.3,12,21,41,0,0,0,0,0,"1.9",1500000,0,1,0,0
